iter	Passed	Remaining
826	28669	5997
827	28678	5957
828	28685	5917
829	28693	5876
830	28703	5837
831	28712	5797
832	28721	5758
833	28729	5718
834	28740	5679
835	28748	5639
836	28760	5600
837	28772	5562
838	28781	5523
839	28793	5484
840	28806	5446
841	28814	5407
842	28824	5368
843	28835	5329
844	28843	5290
845	28857	5253
846	28865	5214
847	28876	5176
848	28885	5137
849	28897	5099
850	28908	5061
851	28920	5023
852	28930	4985
853	28939	4947
854	28953	4910
855	28960	4871
856	28970	4833
857	28977	4795
858	28984	4757
859	28991	4719
860	28999	4681
861	29007	4643
862	29014	4605
863	29027	4569
864	29044	4532
865	29063	4497
866	29082	4461
867	29110	4426
868	29126	4390
869	29136	4353
870	29142	4316
871	29150	4278
872	29157	4241
873	29166	4204
874	29174	4167
875	29183	4130
876	29191	4094
877	29200	4057
878	29208	4020
879	29217	3984
880	29226	3947
881	29235	3911
882	29243	3874
883	29249	3838
884	29259	3802
885	29267	3765
886	29276	3729
887	29290	3694
888	29307	3659
889	29322	3624
890	29340	3589
891	29360	3554
892	29379	3520
893	29394	3485
894	29410	3450
895	29425	3415
896	29440	3380
897	29457	3345
898	29475	3311
899	29491	3276
900	29509	3242
901	29524	3207
902	29540	3173
903	29556	3138
904	29571	3104
905	29588	3069
906	29602	3035
907	29619	3001
908	29636	2966
909	29651	2932
910	29667	2898
911	29680	2863
912	29693	2829
913	29706	2795
914	29718	2760
915	29730	2726
916	29742	2692
917	29754	2657
918	29766	2623
919	29778	2589
920	29792	2555
921	29805	2521
922	29818	2487
923	29831	2453
924	29837	2419
925	29844	2384
926	29853	2350
927	29860	2316
928	29869	2282
929	29875	2248
930	29882	2214
931	29893	2181
932	29898	2147
933	29908	2113
934	29916	2079
935	29924	2046
936	29941	2013
937	29949	1979
938	29957	1946
939	29966	1912
940	29973	1879
941	29980	1845
942	29987	1812
943	29996	1779
944	30003	1746
945	30010	1713
946	30017	1679
947	30023	1646
948	30032	1613
949	30039	1581
950	30047	1548
951	30054	1515
952	30062	1482
953	30070	1449
954	30077	1417
955	30084	1384
956	30091	1352
957	30097	1319
958	30105	1287
959	30111	1254
960	30119	1222
961	30126	1190
962	30133	1157
963	30141	1125
964	30148	1093
965	30154	1061
966	30163	1029
967	30170	997
968	30176	965
969	30182	933
970	30188	901
971	30194	869
972	30203	838
973	30209	806
974	30216	774
975	30223	743
976	30230	711
977	30236	680
978	30243	648
979	30250	617
980	30256	586
981	30262	554
982	30269	523
983	30277	492
984	30286	461
985	30293	430
986	30299	399
987	30306	368
988	30313	337
989	30319	306
990	30326	275
991	30332	244
992	30339	213
993	30345	183
994	30352	152
995	30359	121
996	30365	91
997	30372	60
998	30379	30
999	30385	0
